,User,Tweet,Time
0,6ZK8agustd,@always_withking 先程ご指定の口座に入金いたしました。2022年の3月9日は一生忘れることのできない日になります。よろしくお願い申し上げます。,2022-02-28 11:04:16+00:00
1,Fakenewsdeouar1,"RT @pierrecappelli: Guerre en #Ukraine : les bombardements russes s’accompagnent de nombreuses #cyberattaques 🕳️

#cybersecurite #informati…",2022-02-28 11:04:16+00:00
2,7PcTX3XoVqGJfxg,"RT @jumpshoptokyo: キャンペーン締切は本日まで！

お見逃しなく！！！",2022-02-28 11:04:16+00:00
3,EgsiGF80J7jxOlf,RT @sasamako1: 只今 大阪の自宅に帰ってきました。これで私の中では、ASCA LIVE TOUR 2022 君の街へ ツアー  SENDAI CLUB JUNK BOX 終演となります。お疲れ様でした🙏 #君街ツアー2022,2022-02-28 11:04:16+00:00
4,Fatemeho_oArmy,"24
I vote for #Butter for #BestMusicVideo at the 2022 #iHeartAwards @BTS_twt",2022-02-28 11:04:16+00:00
5,BenjalfD,"RT @FiscaliaCDMX: Se activa #AlertaAmber para localizar a una menor de 15 años de edad, de nombre Dalia Dalila Saquedo Soriano, fue vista p…",2022-02-28 11:04:16+00:00
6,Tradaxx,"RT @idrissaberkane: Pfizer va financer un pôle de formation au fact-checking avec Facebook. 

Logique. 

https://t.co/qNXBOjWGvo",2022-02-28 11:04:16+00:00
7,Solution008,"RT @Bull100X: Bull100X token info:

Contract address: 0x72aDD749DdCFE9b749f50CBFf76B59A2e6c80Af5
Name: BULL Token
Symbol: BULL
Decimals: 18…",2022-02-28 11:04:16+00:00
8,tabitokanaru,"RT @P25th_fes: 【情報解禁】
『ペルソナ』シリーズ25周年を記念する一大イベント『ペルソナ25thフェス』が2022年5月28日(土)より開催決定！展覧会、グッズ販売、ホテルのコラボルーム展開など様々な側面から『ペルソナ』シリーズの魅力を深堀りしていきます。

#…",2022-02-28 11:04:16+00:00
9,lanevoghini,"RT @YouTV0201: #パジェロTwitterならべ2022冬

こんな感じで😊 https://t.co/a2JgJjrMju",2022-02-28 11:04:16+00:00
10,MailAayo,एमसिसीमा बनाएकाे माेडेलले अन्य परियाेजनालाई पनि सहयोग पुग्छः कार्यकारी निर्देशक विष्ट https://t.co/TUvVIKr2On,2022-02-28 11:04:16+00:00
11,KristinaBazan19,"You could well call it the information on the ages. Nobody can guarantee distinction and fortune from captivating #coin gathering, yet some have lived it up! Regardless, one thing is without a doubt: Following the tips introduced here will broaden your...
https://t.co/Np34xEOiv1 https://t.co/BHi28WoZRd",2022-02-28 11:04:16+00:00
12,niamh10122,"RT @BFreeTheatre: Moscow underground. Sometimes the act of resistance doesn’t have to be loud or bold, it just has to be. #Ukraine #SlavaUk…",2022-02-28 11:04:16+00:00
13,shukatsudondon,"RT @OKB1917: なんとも気が重いことですが今週のメルマガです。

第166号（2022年2月28日）　ついに始まってしまったウクライナ侵攻｜ユーリィ・イズムィコ @OKB1917 #note https://t.co/dFteoSYfC5",2022-02-28 11:04:16+00:00
14,sunfloryou,"RT @127bbl: [220228] 🐯

""In 2022 too, (let's be) together with NCT ☺️""

""Pft""",2022-02-28 11:04:16+00:00
15,oicicle_00,大阪も名古屋も来ないからこれは飛べってことだ,2022-02-28 11:04:16+00:00
16,rumuuzyok,"RT @IPCC_CH: PRESS RELEASE | 28 Feb 2022

#Climatechange: a threat to human wellbeing and health of the planet. 

Taking action now can sec…",2022-02-28 11:04:16+00:00
17,2Ani68,RT @nhk_news: 【速報 JUST IN 】トヨタ あす国内全工場の稼働停止へ 取引先へのサイバー攻撃で #nhk_news https://t.co/RBT3Vt4sFS,2022-02-28 11:04:16+00:00
18,KiraKatarn,Danke an @Afelia für dieses Statement. Es hat mir dabei geholfen Putin auch meine Angst nicht mehr zu geben. #Ukraine #UkraineRussiaWar,2022-02-28 11:04:16+00:00
19,senri_kagepuro2,"RT @toman8008_cham: 東京リベンジャーズ in JOYPOLIS

「#東リベ」✖「#ジョイポリス」
初のコラボイベント開催決定

メンテナンスコスチュームを着た
イベントメインビジュアルが公開！

開催期間:2022年4月5日(火)~7月3日(日)

▼
h…",2022-02-28 11:04:16+00:00
20,thvrene,"RT @likechizu: BTS PTD ON STAGE in Seoul Live Viewing (Indonesia)

Ticketing pada 1 Maret 2022
Bandung: 16.00 WIB
Surabaya: 18.00 WIB
Jakar…",2022-02-28 11:04:16+00:00
21,zenizeniforever,"RT @Ton_beri: 「高度な武器はそうそう民兵には使いこなせないだろう」

って思ってた。

「Youtubeとツイッターで使用法の動画を流す」

とか、完全に予想外ですよ！！！！！！",2022-02-28 11:04:16+00:00
22,pathofhimalaya,"RT @DarioForGuo: 27.02.2022 #郭文贵 #大直播 #MilesGuo #MilesGuoLive 
我们每个人都被洗脑的，只是我们醒的比较早。
不要太担心小粉红，他们70年都没有醒来，别指望短期内会突然觉醒。
有时候，对于顽固不化，彻底洗脑的小粉红们，…",2022-02-28 11:04:16+00:00
